fine_dust,O3,region,heavy_metal,traffic,num_of_factories,num_of_power_plants,num_of_people,household_waste_discharge_per_person (kg/days),wind_speed,wind_direction,rainfall(mm),C,avg_O3,avg_fine_dust
1,0,충청남도예산군,0.5912,39.7,439 ,0,78084 ,1,3.38,-82.6393,43.65,13.3,0.028,51.5
1,0,충청남도천안시,1.0305,37.3,1695 ,0,658808 ,1.2,3.38,-82.6393,34.73333,12.5,0.013,51.83333333
1,1,충청남도청양군,0.5912,41.2,132 ,0,30948 ,1.2,3.38,-82.6393,43.65,13.3,0.03,48.16666667
1,0,충청남도태안군,0.8213,36.2,106 ,10,62214 ,1.1,3.38,-82.6393,43.65,13.2,0.026,48.83333333
1,0,충청남도홍성군,0.5912,39.7,386 ,0,100102 ,1.1,3.38,-82.6393,43.65,13.3,0.028,46.16666667
0,0,충청북도괴산군,0.5912,38.1,293 ,0,39393 ,1.4,3.246667,-21.3873,37,14.4,0.028,41.66666667
0,0,충청북도단양군,1.3172,41.4,106 ,0,29155 ,2.4,3.246667,-21.3873,43.16667,11.2,0.017,40.33333333
1,0,충청북도보은군,0.5912,40,187 ,0,32412 ,1.2,3.246667,-21.3873,37,12.1,0.028,43.5
0,0,충청북도영동군,0.5912,36.4,156 ,0,47475 ,1.4,3.246667,-21.3873,33.66667,12.3,0.028,42
1,0,충청북도옥천군,0.5912,39.3,437 ,0,50527 ,2.1,3.246667,-21.3873,37,12.3,0.024,43.83333333
1,0,충청북도음성군,0.5912,42.2,2228 ,0,93153 ,1.7,3.246667,-21.3873,35.15,12.4,0.028,47.33333333
1,0,충청북도제천시,0.5912,40,396 ,0,133018 ,1.4,3.246667,-21.3873,43.16667,11.2,0.024,47.4
1,0,충청북도증평군,0.5912,41.2,134 ,0,36807 ,1.5,3.246667,-21.3873,37,12.3,0.025,49.66666667
1,0,충청북도진천군,0.5912,41,1211 ,0,83718 ,1.6,3.246667,-21.3873,31.41667,14.4,0.025,48
1,0,충청북도청원군,0.5912,0,17 ,0,194373 ,0,3.246667,-21.3873,31.41667,14.4,0.025,48
1,0,충청북도청주시,0.5276,38.4,798 ,0,844993 ,1.3,3.246667,-21.3873,31.41667,14.4,0.023,48
1,0,충청북도충주시,0.5276,38.6,800 ,0,210186 ,1.6,3.246667,-21.3873,35.15,12.4,0.027,48
